Veranstaltungsnr.;Veranstaltungsname;Kürzel;SWS;Semester;Themengebietsnr.
1;Betriebssystemwerkzeuge;BSW;2;1;1
2;Funktionale Programmierung;FP;8;1;2
3;Grundlagen der Technischen Informatik;RS;6;1;3
4;Imperative und objektorientierte Programmierung;ALP2;7;2;2
5;Rechnerarchitektur;RO;4;2;1
6;Einführung in die Theoretischen Informatik;EthI;5;2;3
7;Datenstrukturen und Datenabstraktion;ALP3;6;3;2
8;Datenbanksysteme;DBSA;6;3;4
9;Fachdidaktik Informatik;DDI;4;3;5
10;Nichtsequentielle und verteilte Programmierung;NSP;6;4;2
11;Rechnernetze;NET;6;4;1
12;Unterrichtsbezogenes Softwarepraktikum;SWP;3;4;2
13;Unterrichtsbezogenes Datenbankpraktikum;DBP;3;4;4
14;Analyse fachlichen Lernens;AfL;3;4;5
