;Verknüfungen:;in der Tabelle Verbrauch wird mit den Terrarien verknüpft;;;;
;;;;;;
;Bodenbelag;;;;;
;VM_ID;Farbe;Koernung;;;
Rindenmulch fein;16;Dunkelbraun;bis 25mm;;;"INSERT INTO Bodenbelag (VM_ID, Farbe, Koernung) VALUES (16, 'Dunkelbraun', 'bis 25mm');"
Rindenmulch grob;17;Dunkelbraun;25mm - 60mm;;;"INSERT INTO Bodenbelag (VM_ID, Farbe, Koernung) VALUES (17, 'Dunkelbraun', '25mm - 60mm');"
Sand;18;Gelblich-Weiß;bis 2mm;;;"INSERT INTO Bodenbelag (VM_ID, Farbe, Koernung) VALUES (18, 'Gelblich-Weiß', 'bis 2mm');"
Sandimitat;19;Rötlich-Gelb;bis 1mm;;;"INSERT INTO Bodenbelag (VM_ID, Farbe, Koernung) VALUES (19, 'Rötlich-Gelb', 'bis 1mm');"
Moos;20;Gelblich-Braun;bis 200mm;;;"INSERT INTO Bodenbelag (VM_ID, Farbe, Koernung) VALUES (20, 'Gelblich-Braun', 'bis 200mm');"
Kies;31;Weiß-Grau;8mm - 20mm;;;"INSERT INTO Bodenbelag (VM_ID, Farbe, Koernung) VALUES (31, 'Weiß-Grau', '8mm - 20mm');"
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
