;Verknüfungen:;in der Tabelle Verbrauch wird mit den Terrarien verknüpft;;;;;
;;;;;;;
;Deko;;;;;;
Verbrauchmittel;VM_ID;Material;Farbe;Zweck;;;
Holzteil klein;21;Holz;braun;Klettern, Unterschlupf;;;"INSERT INTO Deko (VM_ID, Material, Farbe, Zweck) VALUES (21, 'Holz', 'braun', 'Klettern, Unterschlupf');"
Holzteil groß;22;Holz;braun;Klettern, Unterschlupf;;;"INSERT INTO Deko (VM_ID, Material, Farbe, Zweck) VALUES (22, 'Holz', 'braun', 'Klettern, Unterschlupf');"
Häuschen/Höhle;23;Stein, Plastik, Holz;variabel;Unterschlupf;;;"INSERT INTO Deko (VM_ID, Material, Farbe, Zweck) VALUES (23, 'Stein, Plastik, Holz', 'variabel', 'Unterschlupf');"
Steinplatte;24;Marmorstein;weiß bis grau;Klettern;;;"INSERT INTO Deko (VM_ID, Material, Farbe, Zweck) VALUES (24, 'Marmorstein', 'weiß bis grau', 'Klettern');"
Stein;25;Stein;weiß bis grau;Klettern;;;"INSERT INTO Deko (VM_ID, Material, Farbe, Zweck) VALUES (25, 'Stein', 'weiß bis grau', 'Klettern');"
Aquariumfilter;26;Elektronik;-;Reinigung;;;"INSERT INTO Deko (VM_ID, Material, Farbe, Zweck) VALUES (26, 'Elektronik', '-', 'Reinigung');"
Kokosnusschale;34;Kokos;braun;Klettern, Unterschlupf;;;"INSERT INTO Deko (VM_ID, Material, Farbe, Zweck) VALUES (34, 'Kokos', 'braun', 'Klettern, Unterschlupf');"
Muschel;36;Perlmut;weiß;Klettern, Unterschlupf;;;"INSERT INTO Deko (VM_ID, Material, Farbe, Zweck) VALUES (36, 'Perlmut', 'weiß', 'Klettern, Unterschlupf');"
Sisalring;37;Flachs/Sisal;braun;Klettern;;;"INSERT INTO Deko (VM_ID, Material, Farbe, Zweck) VALUES (37, 'Flachs/Sisal', 'braun', 'Klettern');"
Dripper;38;Elektronik;-;Trinkwasserabgabe;;;"INSERT INTO Deko (VM_ID, Material, Farbe, Zweck) VALUES (38, 'Elektronik', '-', 'Trinkwasserabgabe');"
Salatschale;39;Stein;grau;Nahrungsbereitstellung;;;"INSERT INTO Deko (VM_ID, Material, Farbe, Zweck) VALUES (39, 'Stein', 'grau', 'Nahrungsbereitstellung');"
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Kletterwand;;Holz;;Habitatausstattung;;;
;;;;Brutpflege;;;
;;;;Spiel;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
erdachte Einträge - bitte PRÜFEN bzw ERWEITERN/ERSETZEN;;;;;;;
