Verknüfungen:;"in Tabelle ""Ernährung"" werden die Tiere mit ihrem Futter und dem Intervall verknüpft";;;
;;;;
Futter;;;;
FU_ID;Bezeichnung;Lagerungsform;;
1;Fische;tiefgekühlt;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (1, 'Fische', 'tiefgekühlt');"
2;Wasserschildkröten- / Gupyfutter (Fischpellets);getrocknet;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (2, 'Wasserschildkröten- / Gupyfutter (Fischpellets)', 'getrocknet');"
3;Frischwasser;frisch/Wasserhahn;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (3, 'Frischwasser', 'frisch/Wasserhahn');"
4;Heimchen;lebend;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (4, 'Heimchen', 'lebend');"
5;Heuschrecken, adult;lebend;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (5, 'Heuschrecken, adult', 'lebend');"
6;Heuschrecken, subadult;lebend;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (6, 'Heuschrecken, subadult', 'lebend');"
7;Mäuse / Sinte;tiefgekühlt;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (7, 'Mäuse / Sinte', 'tiefgekühlt');"
8;Rohkost / Salat;frisch/gekühlt;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (8, 'Rohkost / Salat', 'frisch/gekühlt');"
9;Schrimps;getrocknet;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (9, 'Schrimps', 'getrocknet');"
10;Fruchtbrei;;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (10, 'Fruchtbrei', '');"
11;Obstschale;frisch;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (11, 'Obstschale', 'frisch');"
12;;;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (12, '', '');"
13;;;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (13, '', '');"
14;;;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (14, '', '');"
15;;;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (15, '', '');"
16;;;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (16, '', '');"
17;;;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (17, '', '');"
18;;;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (18, '', '');"
19;;;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (19, '', '');"
20;;;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (20, '', '');"
21;;;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (21, '', '');"
22;;;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (22, '', '');"
23;;;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (23, '', '');"
24;;;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (24, '', '');"
25;;;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (25, '', '');"
26;;;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (26, '', '');"
27;;;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (27, '', '');"
28;;;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (28, '', '');"
29;;;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (29, '', '');"
30;;;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (30, '', '');"
31;;;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (31, '', '');"
32;;;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (32, '', '');"
33;;;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (33, '', '');"
34;;;;"INSERT INTO Futter (FU_ID, Bezeichnung, Lagerungsform) VALUES (34, '', '');"
