Verknüpfungen:;AD_ID -> Arbeitsdienst mit AT_ID (Bez.,Beschr.&Intervall)) & Datum;;;;;;
;;;;;;;
Lagerpflege;-> Lagerbestandsprüfung;;;;;;
AD_ID;VM_ID;Bezeichnung in Verbrauchsmittel;AT_ID in Arbeitsdienste;;;;
62;1;Tageslichtlampe groß;20;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (62, 1);";;;
63;2;Tageslichtlampe mittel;20;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (63, 2);";;;
64;3;Tageslichtlampe klein;20;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (64, 3);";;;
65;4;Wärmelampe groß;20;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (65, 4);";;;
66;5;Wärmelampe mittel;20;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (66, 5);";;;
67;6;Wärmelampe klein;20;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (67, 6);";;;
68;7;UV-Lampe groß;20;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (68, 7);";;;
69;8;UV-Lampe mittel;20;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (69, 8);";;;
70;9;UV-Lampe klein;20;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (70, 9);";;;
71;10;Topfpflanze klein;18;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (71, 10);";;;
72;11;Topfpflanze mittel;18;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (72, 11);";;;
73;12;Topfpflanze groß;18;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (73, 12);";;;
74;13;künstliche Topflanze;18;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (74, 13);";;;
75;14;künstliche Pflanze;18;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (75, 14);";;;
76;15;künstliches Pflanzenteil;18;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (76, 15);";;;
77;16;Rindenmulch fein;21;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (77, 16);";;;
78;17;Rindenmulch grob;21;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (78, 17);";;;
79;18;Sand;21;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (79, 18);";;;
80;19;Sandimitat;21;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (80, 19);";;;
81;20;Moos;21;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (81, 20);";;;
82;21;Holzteil klein;18;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (82, 21);";;;
83;22;Holzteil groß;18;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (83, 22);";;;
84;23;Häuschen/Unterschlupf;18;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (84, 23);";;;
85;24;Steinplatte;18;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (85, 24);";;;
86;25;Stein;18;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (86, 25);";;;
87;26;Aquariumfilter;19;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (87, 26);";;;
88;27;Schwimmbecken klein;18;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (88, 27);";;;
89;28;Schwimmbecken mittel;18;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (89, 28);";;;
90;29;Schwimmbecken groß;18;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (90, 29);";;;
91;30;Wasserschale;18;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (91, 30);";;;
92;31;Kies;21;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (92, 31);";;;
93;32;Aquarium klein;18;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (93, 32);";;;
94;33;Algen;18;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (94, 33);";;;
95;34;Kokosnusschale;18;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (95, 34);";;;
96;35;Aquarium groß;18;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (96, 35);";;;
97;36;Muschel;18;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (97, 36);";;;
98;37;Sisalring;18;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (98, 37);";;;
99;38;Dripper;18;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (99, 38);";;;
100;39;Salatschale;18;"INSERT INTO Lagerpflege (AD_ID, VM_ID) VALUES (100, 39);";;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
