Verknüfungen:;Habitat-ID kann in anderer Tabelle gefunden werden;;;;;;;;;
;;;;;;;;;;
Terrarien;;;;;in cm;in cm;in cm;in cm;;
TR_ID;Name;Beschreibung;Raumnummer;HT_ID;Hoehe;Tiefe;Breite;Breite_vorn;;
1;Bartagamengruppe;;;2;210;;366;366;;"INSERT INTO Terrarien (TR_ID, Name, Beschreibung, Raumnummer, HT_ID, Hoehe, Tiefe, Breite, Breite_vorn) VALUES (1, 'Bartagamengruppe', '', '', 2, 210, , 366, 366);"
2;Shy Guy;;;1;738;73;39;39;;"INSERT INTO Terrarien (TR_ID, Name, Beschreibung, Raumnummer, HT_ID, Hoehe, Tiefe, Breite, Breite_vorn) VALUES (2, 'Shy Guy', '', '', 1, 738, 73, 39, 39);"
3;Günther & Giesela;mittig geteilt;;3;50;60;120;120;;"INSERT INTO Terrarien (TR_ID, Name, Beschreibung, Raumnummer, HT_ID, Hoehe, Tiefe, Breite, Breite_vorn) VALUES (3, 'Günther & Giesela', 'mittig geteilt', '', 3, 50, 60, 120, 120);"
4;Cäsar, Cleopatra;;;2;50;50;100;100;;"INSERT INTO Terrarien (TR_ID, Name, Beschreibung, Raumnummer, HT_ID, Hoehe, Tiefe, Breite, Breite_vorn) VALUES (4, 'Cäsar, Cleopatra', '', '', 2, 50, 50, 100, 100);"
5;Koka;;;2;40;50;125;125;;"INSERT INTO Terrarien (TR_ID, Name, Beschreibung, Raumnummer, HT_ID, Hoehe, Tiefe, Breite, Breite_vorn) VALUES (5, 'Koka', '', '', 2, 40, 50, 125, 125);"
6;Walburga;;;3;40;50;140;140;;"INSERT INTO Terrarien (TR_ID, Name, Beschreibung, Raumnummer, HT_ID, Hoehe, Tiefe, Breite, Breite_vorn) VALUES (6, 'Walburga', '', '', 3, 40, 50, 140, 140);"
7;Exo;;;1;140;64;95;95;;"INSERT INTO Terrarien (TR_ID, Name, Beschreibung, Raumnummer, HT_ID, Hoehe, Tiefe, Breite, Breite_vorn) VALUES (7, 'Exo', '', '', 1, 140, 64, 95, 95);"
8;Terra;;;1;140;64;95;95;;"INSERT INTO Terrarien (TR_ID, Name, Beschreibung, Raumnummer, HT_ID, Hoehe, Tiefe, Breite, Breite_vorn) VALUES (8, 'Terra', '', '', 1, 140, 64, 95, 95);"
9;Diva;;;1;150;58;111;62;;"INSERT INTO Terrarien (TR_ID, Name, Beschreibung, Raumnummer, HT_ID, Hoehe, Tiefe, Breite, Breite_vorn) VALUES (9, 'Diva', '', '', 1, 150, 58, 111, 62);"
10;Schnute;;;1;300;155;350;250;;"INSERT INTO Terrarien (TR_ID, Name, Beschreibung, Raumnummer, HT_ID, Hoehe, Tiefe, Breite, Breite_vorn) VALUES (10, 'Schnute', '', '', 1, 300, 155, 350, 250);"
