;Verknüfungen:;die Tiere, Futter & Arbeitsdienst findet man anhand ihrer ID in anderer Tabelle;;;;;;;;;
;;;;;;;;;;;
Tierpflege;;;;;;"1: Hauptmahl
2: alternatives Hauptmahl
3: Nebenmahl";;;;;
Tiere;AD_ID;TI_ID;FU_ID;Menge_min;Menge_max;Mahlkategorie;;;Futter;;
Tiana;1;6;4;1;2;1;;f;Fische;;"INSERT INTO Tierpflege (AD_ID, TI_ID, FU_ID, Menge_min, Menge_max, Mahlkategorie) VALUES (1, 6, 4, 1, 2, 1);"
Avery;2;7;4;1;2;1;;f;Fische;;"INSERT INTO Tierpflege (AD_ID, TI_ID, FU_ID, Menge_min, Menge_max, Mahlkategorie) VALUES (2, 7, 4, 1, 2, 1);"
Walburga;3;8;1;2;2;1;;f;Fische;;"INSERT INTO Tierpflege (AD_ID, TI_ID, FU_ID, Menge_min, Menge_max, Mahlkategorie) VALUES (3, 8, 1, 2, 2, 1);"
Walburga;4;8;2;1;1;3;;f;Mäuse / Sinte;;"INSERT INTO Tierpflege (AD_ID, TI_ID, FU_ID, Menge_min, Menge_max, Mahlkategorie) VALUES (4, 8, 2, 1, 1, 3);"
Lola;5;10;4;3;4;1;;f;Mäuse / Sinte;;"INSERT INTO Tierpflege (AD_ID, TI_ID, FU_ID, Menge_min, Menge_max, Mahlkategorie) VALUES (5, 10, 4, 3, 4, 1);"
Belle;6;11;4;3;4;1;;f;Wasserschildkröten- / Gupyfutter (Fischpellets);;"INSERT INTO Tierpflege (AD_ID, TI_ID, FU_ID, Menge_min, Menge_max, Mahlkategorie) VALUES (6, 11, 4, 3, 4, 1);"
Diego;7;12;4;3;4;1;;f;Wasserschildkröten- / Gupyfutter (Fischpellets);;"INSERT INTO Tierpflege (AD_ID, TI_ID, FU_ID, Menge_min, Menge_max, Mahlkategorie) VALUES (7, 12, 4, 3, 4, 1);"
