Verknüfungen:;werden eingetragen bei den Tieren;;;;;;;;;;
;;;;;;;;;;;
Unterarten;;;;in C°;in …;in cm;in Jahren;;;;
UA_ID;Bezeichnung;Heimat;Lebensraum;Temperatur;Luftfeuchtigkeit;Groesse;Lebenserwartung;Ernaehrung;Besonderheiten;;
1;Bartagame;;;;;;;;;;"INSERT INTO Unterarten (UA_ID, Bezeichnung, Heimat, Lebensraum, Temperatur, Luftfeuchtigkeit, Groesse, Lebenserwartung, Ernaehrung, Besonderheiten) VALUES (1, 'Bartagame', '', '', '', '', '', '', '', '');"
2;Chamäleon;;;;;;;;;;"INSERT INTO Unterarten (UA_ID, Bezeichnung, Heimat, Lebensraum, Temperatur, Luftfeuchtigkeit, Groesse, Lebenserwartung, Ernaehrung, Besonderheiten) VALUES (2, 'Chamäleon', '', '', '', '', '', '', '', '');"
3;Europäische Sumpfschildkröte;;;;;;;;;;"INSERT INTO Unterarten (UA_ID, Bezeichnung, Heimat, Lebensraum, Temperatur, Luftfeuchtigkeit, Groesse, Lebenserwartung, Ernaehrung, Besonderheiten) VALUES (3, 'Europäische Sumpfschildkröte', '', '', '', '', '', '', '', '');"
4;Grüne Wasseragame;;;;;;;;;;"INSERT INTO Unterarten (UA_ID, Bezeichnung, Heimat, Lebensraum, Temperatur, Luftfeuchtigkeit, Groesse, Lebenserwartung, Ernaehrung, Besonderheiten) VALUES (4, 'Grüne Wasseragame', '', '', '', '', '', '', '', '');"
5;Kornnatter;;;;;;;;;;"INSERT INTO Unterarten (UA_ID, Bezeichnung, Heimat, Lebensraum, Temperatur, Luftfeuchtigkeit, Groesse, Lebenserwartung, Ernaehrung, Besonderheiten) VALUES (5, 'Kornnatter', '', '', '', '', '', '', '', '');"
6;Griechische Landschildkröte;;;;;;;;;;"INSERT INTO Unterarten (UA_ID, Bezeichnung, Heimat, Lebensraum, Temperatur, Luftfeuchtigkeit, Groesse, Lebenserwartung, Ernaehrung, Besonderheiten) VALUES (6, 'Griechische Landschildkröte', '', '', '', '', '', '', '', '');"
7;Leopardengecko;;;;;;;;;;"INSERT INTO Unterarten (UA_ID, Bezeichnung, Heimat, Lebensraum, Temperatur, Luftfeuchtigkeit, Groesse, Lebenserwartung, Ernaehrung, Besonderheiten) VALUES (7, 'Leopardengecko', '', '', '', '', '', '', '', '');"
8;Madagaskar-Taggecko;;;;;;;;;;"INSERT INTO Unterarten (UA_ID, Bezeichnung, Heimat, Lebensraum, Temperatur, Luftfeuchtigkeit, Groesse, Lebenserwartung, Ernaehrung, Besonderheiten) VALUES (8, 'Madagaskar-Taggecko', '', '', '', '', '', '', '', '');"
9;Ritteranolis;;;;;;;;;;"INSERT INTO Unterarten (UA_ID, Bezeichnung, Heimat, Lebensraum, Temperatur, Luftfeuchtigkeit, Groesse, Lebenserwartung, Ernaehrung, Besonderheiten) VALUES (9, 'Ritteranolis', '', '', '', '', '', '', '', '');"
10;Stachelleguan;;;;;;;;;;"INSERT INTO Unterarten (UA_ID, Bezeichnung, Heimat, Lebensraum, Temperatur, Luftfeuchtigkeit, Groesse, Lebenserwartung, Ernaehrung, Besonderheiten) VALUES (10, 'Stachelleguan', '', '', '', '', '', '', '', '');"
11;Sudan-Schildechse;;;;;;;;;;"INSERT INTO Unterarten (UA_ID, Bezeichnung, Heimat, Lebensraum, Temperatur, Luftfeuchtigkeit, Groesse, Lebenserwartung, Ernaehrung, Besonderheiten) VALUES (11, 'Sudan-Schildechse', '', '', '', '', '', '', '', '');"
12;Wüsten-Halsbandleguan;;;;;;;;;;"INSERT INTO Unterarten (UA_ID, Bezeichnung, Heimat, Lebensraum, Temperatur, Luftfeuchtigkeit, Groesse, Lebenserwartung, Ernaehrung, Besonderheiten) VALUES (12, 'Wüsten-Halsbandleguan', '', '', '', '', '', '', '', '');"
13;Zwergbartagame;;;;;;;;;;"INSERT INTO Unterarten (UA_ID, Bezeichnung, Heimat, Lebensraum, Temperatur, Luftfeuchtigkeit, Groesse, Lebenserwartung, Ernaehrung, Besonderheiten) VALUES (13, 'Zwergbartagame', '', '', '', '', '', '', '', '');"
14;Moschusschildkröte;;;;;;;;;;"INSERT INTO Unterarten (UA_ID, Bezeichnung, Heimat, Lebensraum, Temperatur, Luftfeuchtigkeit, Groesse, Lebenserwartung, Ernaehrung, Besonderheiten) VALUES (14, 'Moschusschildkröte', '', '', '', '', '', '', '', '');"
15;Königspython;;;;;;;;;;"INSERT INTO Unterarten (UA_ID, Bezeichnung, Heimat, Lebensraum, Temperatur, Luftfeuchtigkeit, Groesse, Lebenserwartung, Ernaehrung, Besonderheiten) VALUES (15, 'Königspython', '', '', '', '', '', '', '', '');"
16;Sandfische;;;;;;;;;;"INSERT INTO Unterarten (UA_ID, Bezeichnung, Heimat, Lebensraum, Temperatur, Luftfeuchtigkeit, Groesse, Lebenserwartung, Ernaehrung, Besonderheiten) VALUES (16, 'Sandfische', '', '', '', '', '', '', '', '');"
17;Fächerfingergecko;Nordafrika, Iran, Irak;;;;;;;;;"INSERT INTO Unterarten (UA_ID, Bezeichnung, Heimat, Lebensraum, Temperatur, Luftfeuchtigkeit, Groesse, Lebenserwartung, Ernaehrung, Besonderheiten) VALUES (17, 'Fächerfingergecko', 'Nordafrika, Iran, Irak', '', '', '', '', '', '', '');"
18;Grüner Leguan;;;;;;;;;;"INSERT INTO Unterarten (UA_ID, Bezeichnung, Heimat, Lebensraum, Temperatur, Luftfeuchtigkeit, Groesse, Lebenserwartung, Ernaehrung, Besonderheiten) VALUES (18, 'Grüner Leguan', '', '', '', '', '', '', '', '');"
19;;;;;;;;;;;"INSERT INTO Unterarten (UA_ID, Bezeichnung, Heimat, Lebensraum, Temperatur, Luftfeuchtigkeit, Groesse, Lebenserwartung, Ernaehrung, Besonderheiten) VALUES (19, '', '', '', '', '', '', '', '', '');"
20;;;;;;;;;;;"INSERT INTO Unterarten (UA_ID, Bezeichnung, Heimat, Lebensraum, Temperatur, Luftfeuchtigkeit, Groesse, Lebenserwartung, Ernaehrung, Besonderheiten) VALUES (20, '', '', '', '', '', '', '', '', '');"
