;Verknüfungen:;Verbrauchsmittel, Terrarien und Arbeitsdienste sind anhand ihrer IDs in ihren Tabellen zu finden;;;;;;
;;;;;;;;
Verbrauch;;;;;;;;
Terrarien;TR_ID;VM_ID;Anzahl;AD_ID;;Verbrauchsmittel;;
Bartagamengruppe;1;22;3;7;;Holzteil groß;;"INSERT INTO Verbrauch (TR_ID, VM_ID, Anzahl, AD_ID) VALUES (1, 22, 3, 7);"
Bartagamengruppe;1;26;1;;;Schwimmbecken mittel;;"INSERT INTO Verbrauch (TR_ID, VM_ID, Anzahl, AD_ID) VALUES (1, 26, 1, );"
Bartagamengruppe;1;18;0;;;Sand;;"INSERT INTO Verbrauch (TR_ID, VM_ID, Anzahl, AD_ID) VALUES (1, 18, 0, );"
Bartagamengruppe;1;13;1;;;künstliche Topflanze;;"INSERT INTO Verbrauch (TR_ID, VM_ID, Anzahl, AD_ID) VALUES (1, 13, 1, );"
Bartagamengruppe;1;4;1;;;Wärmelampe;;"INSERT INTO Verbrauch (TR_ID, VM_ID, Anzahl, AD_ID) VALUES (1, 4, 1, );"
Shy Guy;2;13;1;;;künstliche Topflanze;;"INSERT INTO Verbrauch (TR_ID, VM_ID, Anzahl, AD_ID) VALUES (2, 13, 1, );"
Shy Guy;2;11;1;;;Topfpflanze mittel;;"INSERT INTO Verbrauch (TR_ID, VM_ID, Anzahl, AD_ID) VALUES (2, 11, 1, );"
Shy Guy;2;24;1;;;Steinplatte;;"INSERT INTO Verbrauch (TR_ID, VM_ID, Anzahl, AD_ID) VALUES (2, 24, 1, );"
Shy Guy;2;25;1;;;Stein;;"INSERT INTO Verbrauch (TR_ID, VM_ID, Anzahl, AD_ID) VALUES (2, 25, 1, );"
Shy Guy;2;22;3;;;Holzteil groß;;"INSERT INTO Verbrauch (TR_ID, VM_ID, Anzahl, AD_ID) VALUES (2, 22, 3, );"
Shy Guy;2;17;0;;;Rindenmulch grob;;"INSERT INTO Verbrauch (TR_ID, VM_ID, Anzahl, AD_ID) VALUES (2, 17, 0, );"
Günther & Giesela;3;4;1;;;Wärmelampe;;"INSERT INTO Verbrauch (TR_ID, VM_ID, Anzahl, AD_ID) VALUES (3, 4, 1, );"
Günther & Giesela;3;25;4;;;Stein;;"INSERT INTO Verbrauch (TR_ID, VM_ID, Anzahl, AD_ID) VALUES (3, 25, 4, );"
Günther & Giesela;3;21;1;;;Holzteil klein;;"INSERT INTO Verbrauch (TR_ID, VM_ID, Anzahl, AD_ID) VALUES (3, 21, 1, );"
Günther & Giesela;3;32;1;;;Aquarium klein;;"INSERT INTO Verbrauch (TR_ID, VM_ID, Anzahl, AD_ID) VALUES (3, 32, 1, );"
Günther & Giesela;3;33;3;;;Algen;;"INSERT INTO Verbrauch (TR_ID, VM_ID, Anzahl, AD_ID) VALUES (3, 33, 3, );"
Günther & Giesela;3;31;0;;;Kies;;"INSERT INTO Verbrauch (TR_ID, VM_ID, Anzahl, AD_ID) VALUES (3, 31, 0, );"
Cäsar, Cleopatra;4;4;1;;;Wärmelampe;;"INSERT INTO Verbrauch (TR_ID, VM_ID, Anzahl, AD_ID) VALUES (4, 4, 1, );"
Cäsar, Cleopatra;4;8;1;;;UV-Lampe mittel;;"INSERT INTO Verbrauch (TR_ID, VM_ID, Anzahl, AD_ID) VALUES (4, 8, 1, );"
Cäsar, Cleopatra;4;23;3;;;Häuschen/Höhle;;"INSERT INTO Verbrauch (TR_ID, VM_ID, Anzahl, AD_ID) VALUES (4, 23, 3, );"
