Verknüfungen:;zu jedem Eintrag hier gibt es weitere Eigenschaften in anderer Tabelle (Sand, Pflanzen, Leuchtmittel usw);;;;;;
;in der Tabelle Verbrauch wird mit den Terrarien verknüpft;;;;;;
Verbrauchsmittel;;;in Stück;in Stück;in €;;
VM_ID;Bezeichnung;Beschreibung;Lager_min;Lager_akt;Kosten;;
1;Tageslichtlampe groß;? Röhre von …cm Länge;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (1, 'Tageslichtlampe groß', '? Röhre von …cm Länge', , , );"
2;Tageslichtlampe mittel;? Röhre von …cm Länge;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (2, 'Tageslichtlampe mittel', '? Röhre von …cm Länge', , , );"
3;Tageslichtlampe klein;? Röhre von …cm Länge;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (3, 'Tageslichtlampe klein', '? Röhre von …cm Länge', , , );"
4;Wärmelampe groß;? Strahler mit …cm Durchmesser;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (4, 'Wärmelampe groß', '? Strahler mit …cm Durchmesser', , , );"
5;Wärmelampe mittel;? Strahler mit …cm Durchmesser;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (5, 'Wärmelampe mittel', '? Strahler mit …cm Durchmesser', , , );"
6;Wärmelampe klein;? Strahler mit …cm Durchmesser;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (6, 'Wärmelampe klein', '? Strahler mit …cm Durchmesser', , , );"
7;UV-Lampe groß;? Strahler mit …cm Durchmesser;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (7, 'UV-Lampe groß', '? Strahler mit …cm Durchmesser', , , );"
