;Verknüfungen:;in der Tabelle Verbrauch wird mit den Terrarien verknüpft;;;;;
;;;;;;;
;Wasserbecken;;in cm;in cm;in cm;;
;VM_ID;bepflanzt;Breite;Hoehe;Tiefe;;
Schwimmbecken klein;27;false;;;;;"INSERT INTO Wasserbecken (VM_ID, bepflanzt, Breite, Hoehe, Tiefe) VALUES (27, false, , , );"
Schwimmbecken mittel;28;false;80;15;55;;"INSERT INTO Wasserbecken (VM_ID, bepflanzt, Breite, Hoehe, Tiefe) VALUES (28, false, 80, 15, 55);"
Schwimmbecken groß;29;false;110;15;45;;"INSERT INTO Wasserbecken (VM_ID, bepflanzt, Breite, Hoehe, Tiefe) VALUES (29, false, 110, 15, 45);"
Wasserschale;30;false;;;;;"INSERT INTO Wasserbecken (VM_ID, bepflanzt, Breite, Hoehe, Tiefe) VALUES (30, false, , , );"
Aquarium klein;32;false;40;30;25;;"INSERT INTO Wasserbecken (VM_ID, bepflanzt, Breite, Hoehe, Tiefe) VALUES (32, false, 40, 30, 25);"
Aquarium groß;35;true;70;15;50;;"INSERT INTO Wasserbecken (VM_ID, bepflanzt, Breite, Hoehe, Tiefe) VALUES (35, true, 70, 15, 50);"
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
